sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
bovada,nhl,Anaheim Ducks__Edmonton Oilers,Edmonton Oilers,1.74,2026-04-27T01:40:00Z,upcoming,2026-04-26T22:24:32Z
fanduel,nhl,Philadelphia Flyers__Pittsburgh Penguins,Pittsburgh Penguins,2.14,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:25:13Z
fanduel,nhl,Philadelphia Flyers__Pittsburgh Penguins,Philadelphia Flyers,1.73,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:25:13Z
betrivers,nhl,Philadelphia Flyers__Pittsburgh Penguins,Pittsburgh Penguins,2.18,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:25:35Z
betrivers,nhl,Philadelphia Flyers__Pittsburgh Penguins,Philadelphia Flyers,1.7,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:25:35Z
bovada,nhl,Philadelphia Flyers__Pittsburgh Penguins,Pittsburgh Penguins,2.17,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:24:32Z
bovada,nhl,Philadelphia Flyers__Pittsburgh Penguins,Philadelphia Flyers,1.72,2026-04-27T23:00:00Z,upcoming,2026-04-26T22:24:32Z
fanduel,nhl,Utah Mammoth__Vegas Golden Knights,Utah Mammoth,2.0,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:25:13Z
fanduel,nhl,Utah Mammoth__Vegas Golden Knights,Vegas Golden Knights,1.83,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:25:13Z
betrivers,nhl,Utah Mammoth__Vegas Golden Knights,Utah Mammoth,1.96,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:25:35Z
betrivers,nhl,Utah Mammoth__Vegas Golden Knights,Vegas Golden Knights,1.85,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:25:35Z
bovada,nhl,Utah Mammoth__Vegas Golden Knights,Utah Mammoth,1.97,2026-04-28T01:30:00Z,upcoming,2026-04-26T22:24:32Z
