nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064444
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064614
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064745
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_064916
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065046
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065217
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065347
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065518
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065649
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_065819
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_065950
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_070121
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.7,0.9877,1.23%,20260430_070252
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_070422
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_070553
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_070723
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
nba,lakers__rockets,2026-05-02T01:40:00Z,rockets,draftkings,1.62,lakers,bovada,2.65,0.9946,0.54%,20260430_070854
sport,game_id,commence_time,team_a,sportsbook_a,odds_a,team_b,sportsbook_b,odds_b,probability,profit_margin,time
